year,stock_code,title,shareholder,shareholding_initial,shareholding_current,pledge,pledge_pp,others_shareholding_total,others_pledge,others_pledge_pp
2020,104,董事長本人,臺灣金融控股股份有限公司,300000000,300000000,0,0.0,0,0,0.0
2020,104,董事長之法人代表人,魏江霖,0,0,0,0.0,0,0,0.0
2020,104,董事本人,臺灣金融控股股份有限公司,300000000,300000000,0,0.0,0,0,0.0
2020,104,董事之法人代表人,謝秀賢,0,0,0,0.0,0,0,0.0
2020,104,董事本人,臺灣金融控股股份有限公司,300000000,300000000,0,0.0,0,0,0.0
2020,104,董事本人,臺灣金融控股股份有限公司,300000000,300000000,0,0.0,0,0,0.0
2020,104,董事之法人代表人,潘榮耀,0,0,0,0.0,0,0,0.0
2020,104,董事本人,臺灣金融控股股份有限公司,300000000,300000000,0,0.0,0,0,0.0
2020,104,董事之法人代表人,曾鳳貞,0,0,0,0.0,0,0,0.0
2020,104,董事本人,臺灣金融控股股份有限公司,300000000,300000000,0,0.0,0,0,0.0
2020,104,董事之法人代表人,朱俊生,0,0,0,0.0,0,0,0.0
2020,104,獨立董事本人,臺灣金融控股股份有限公司,300000000,300000000,0,0.0,0,0,0.0
2020,104,獨立董事之代表人,彭百顯,0,0,0,0.0,0,0,0.0
2020,104,獨立董事本人,臺灣金融控股股份有限公司,300000000,300000000,0,0.0,0,0,0.0
2020,104,獨立董事之代表人,陳安琳,0,0,0,0.0,0,0,0.0
2020,104,獨立董事本人,臺灣金融控股股份有限公司,300000000,300000000,0,0.0,0,0,0.0
2020,104,獨立董事之代表人,李運元,0,0,0,0.0,0,0,0.0
2020,104,總經理本人,謝秀賢,0,0,0,0.0,0,0,0.0
2020,104,大股東本人,臺灣金融控股股份有限公司,300000000,300000000,0,0.0,0,0,0.0
2020,104,財務部門主管本人,王俊華,0,0,0,0.0,0,0,0.0
2020,104,會計部門主管本人,陳及人,0,0,0,0.0,0,0,0.0
2020,104,其他,林溫琴,0,0,0,0.0,0,0,0.0
2020,104,其他,陳瀅如,0,0,0,0.0,0,0,0.0
2020,116,董事長本人,日盛金融控股股份有限公司,1157212760,1157212760,0,0.0,0,0,0.0
2020,116,董事長之法人代表人,唐承健,0,0,0,0.0,0,0,0.0
2020,116,董事本人,日盛金融控股股份有限公司,0,1157212760,0,0.0,0,0,0.0
2020,116,董事之法人代表人,楊智光,0,0,0,0.0,0,0,0.0
2020,116,董事本人,日盛金融控股股份有限公司,0,1157212760,0,0.0,0,0,0.0
2020,116,董事之法人代表人,謝志偉,0,0,0,0.0,0,0,0.0
2020,116,董事本人,日盛金融控股股份有限公司,0,1157212760,0,0.0,0,0,0.0
2020,116,董事之法人代表人,黃錦瑭,0,0,0,0.0,0,0,0.0
2020,116,董事本人,日盛金融控股股份有限公司,0,1157212760,0,0.0,0,0,0.0
2020,116,董事之法人代表人,黃旭新,0,0,0,0.0,0,0,0.0
2020,116,董事本人,日盛金融控股股份有限公司,0,1157212760,0,0.0,0,0,0.0
2020,116,董事之法人代表人,蘇立德,0,0,0,0.0,0,0,0.0
2020,116,董事本人,日盛金融控股股份有限公司,0,1157212760,0,0.0,0,0,0.0
2020,116,董事之法人代表人,林佳慶,0,0,0,0.0,0,0,0.0
2020,116,董事本人,日盛金融控股股份有限公司,0,1157212760,0,0.0,0,0,0.0
2020,116,董事之法人代表人,羅裕傑,0,0,0,0.0,0,0,0.0
2020,116,獨立董事本人,日盛金融控股股份有限公司,0,1157212760,0,0.0,0,0,0.0
2020,116,獨立董事之代表人,葉清輝,0,0,0,0.0,0,0,0.0
2020,116,獨立董事本人,日盛金融控股股份有限公司,0,1157212760,0,0.0,0,0,0.0
2020,116,獨立董事之代表人,吳郁萱,0,0,0,0.0,0,0,0.0
2020,116,獨立董事本人,日盛金融控股股份有限公司,0,1157212760,0,0.0,0,0,0.0
2020,116,獨立董事之代表人,陳衍任,0,0,0,0.0,0,0,0.0
2020,116,總經理本人,黃進明,0,0,0,0.0,0,0,0.0
2020,116,副總經理本人,陳香君,0,0,0,0.0,0,0,0.0
2020,116,副總經理本人,許牧群,0,0,0,0.0,0,0,0.0
2020,116,副總經理本人,顏謝雨潤,0,0,0,0.0,0,0,0.0
2020,116,副總經理本人,龐元愷,0,0,0,0.0,0,0,0.0
2020,116,副總經理本人,吳文科,0,0,0,0.0,0,0,0.0
2020,116,副總經理本人,鍾學悌,0,0,0,0.0,0,0,0.0
2020,116,副總經理本人,高淑惠,0,0,0,0.0,0,0,0.0
2020,116,副總經理本人,鄒俊一,0,0,0,0.0,0,0,0.0
2020,116,副總經理本人,蘇立德,0,0,0,0.0,0,0,0.0
2020,116,經理本人,陳宥竹,0,0,0,0.0,0,0,0.0
2020,116,經理本人,高浚瑛,0,0,0,0.0,0,0,0.0
2020,116,經理本人,楊美惠,0,0,0,0.0,0,0,0.0
2020,116,經理本人,湯雅蘋,0,0,0,0.0,0,0,0.0
2020,116,經理本人,林信達,0,0,0,0.0,0,0,0.0
2020,116,經理本人,蔡立平,0,0,0,0.0,0,0,0.0
2020,116,經理本人,何美珠,0,0,0,0.0,0,0,0.0
2020,116,經理本人,鄭雅芬,0,0,0,0.0,0,0,0.0
2020,116,經理本人,蕭崴柏,0,0,0,0.0,0,0,0.0
2020,116,經理本人,莊淑雅,0,0,0,0.0,0,0,0.0
2020,116,經理本人,林麗芬,0,0,0,0.0,0,0,0.0
2020,116,經理本人,游舜雄,0,0,0,0.0,0,0,0.0
2020,116,經理本人,劉雅玲,0,0,0,0.0,0,0,0.0
2020,116,經理本人,洪靜雯,0,0,0,0.0,0,0,0.0
2020,116,經理本人,林明其,0,0,0,0.0,0,0,0.0
2020,116,經理本人,吳奉遠,0,0,0,0.0,0,0,0.0
2020,116,經理本人,林祺雄,0,0,0,0.0,0,0,0.0
2020,116,經理本人,李瑋瑩,0,0,0,0.0,0,0,0.0
2020,116,經理本人,葉麗蓁,0,0,0,0.0,0,0,0.0
2020,116,經理本人,許瓊文,0,0,0,0.0,0,0,0.0
2020,116,經理本人,柏霞君,0,0,0,0.0,0,0,0.0
2020,116,經理本人,王建達,0,0,0,0.0,0,0,0.0
2020,116,協理本人,蔡琇如,0,0,0,0.0,0,0,0.0
2020,116,協理本人,楊朝宗,0,0,0,0.0,0,0,0.0
2020,116,協理本人,吳翠江,0,0,0,0.0,0,0,0.0
2020,116,協理本人,陳正恆,0,0,0,0.0,0,0,0.0
2020,116,協理本人,詹偉宏,0,0,0,0.0,0,0,0.0
